ID,AR,EN
آرين_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
آرين_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
آرين_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
آرين_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
آرين_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
آرين_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
آرين_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
آرين_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
لينا_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
لينا_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
لينا_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
لينا_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
لينا_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
لينا_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
لينا_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
لينا_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
لينا_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
لينا_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
نور_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
نور_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
نور_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
نور_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
نور_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
نور_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
نور_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
نور_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
نور_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
نور_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
مارد_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
مارد_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
مارد_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
مارد_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
مارد_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
مارد_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
مارد_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
مارد_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
مارد_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
مارد_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
سلاف_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
سلاف_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
سلاف_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
سلاف_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
سلاف_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
سلاف_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
سلاف_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
سلاف_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
سلاف_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
سلاف_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
الحارس الأول_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
الحارس الأول_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
الحارس الأول_INT_03,اقرأ الإشارة قبل أن ترد عليها.,Read the signal before you answer it.
الحارس الأول_INT_04,هذه القوة أمانة وليست غنيمة.,"This power is a trust, not a prize."
الحارس الأول_INT_05,نعود إلى الـHub حين يصبح القرار أوضح.,We return to the Hub when the choice is clearer.
الحارس الأول_INT_06,لا تكرر النمط؛ الحارس يراقب ما تعتاد عليه.,Do not repeat the pattern; the Guardian watches what you learn to do.
الحارس الأول_INT_07,الطريق المفتوح يحتاج من يحرسه بعدنا.,An open road needs someone to guard it after us.
الحارس الأول_INT_08,لا تأخذ أكثر مما تحتاج.,Do not take more than you need.
الحارس الأول_INT_09,دعنا نثبت الحقيقة قبل أن ننشرها.,Let us verify the truth before we publish it.
الحارس الأول_INT_10,الآن نعرف ما الذي يجب إصلاحه.,Now we know what must be repaired.
